PLAYER_ID,PLAYER_NAME,BIRTHDATE,HEIGHT_INCHES,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,POSITION,TEAM_ID,TEAM_NAME
1628972,Troy Brown Jr.,1999-07-28,79.0,USA,2018,1,15,Guard-Forward,1610612765,Pistons
203493,Reggie Bullock Jr.,1991-03-16,78.0,USA,2013,1,25,Guard-Forward,1610612745,Rockets
1630618,D.J. Carton,2000-08-05,75.0,USA,0,0,0,Guard,0,FREE AGENT
1630608,Malcolm Cazalon,2001-08-27,78.0,France,0,0,0,Guard,0,FREE AGENT
203496,Robert Covington,1990-12-14,79.0,USA,0,0,0,Forward,1610612755,76ers
1630622,Jalen Crutcher,1999-07-18,73.0,USA,0,0,0,Guard,0,FREE AGENT
1631098,Johnny Davis,2002-02-27,76.0,USA,2022,1,10,Guard,0,FREE AGENT
1641926,Dexter Dennis,1999-02-09,77.0,USA,0,0,0,Guard,0,FREE AGENT
1629603,Mamadi Diakite,1997-01-21,81.0,Guinea,0,0,0,Forward,1610612752,Knicks
1628977,Hamidou Diallo,1998-07-31,77.0,USA,2018,2,45,Guard,0,FREE AGENT
1630929,Henri Drell,2000-04-25,81.0,Estonia,0,0,0,Forward,1610612741,Bulls
1630537,Chris Duarte,1997-06-13,77.0,Dominican Republic,2021,1,13,Guard,0,FREE AGENT
1628981,Bruno Fernando,1998-08-15,81.0,Angola,2019,2,34,Forward-Center,0,FREE AGENT
1630201,Malachi Flynn,1998-05-09,73.0,USA,2020,1,29,Guard,0,FREE AGENT
1630259,Jordan Ford,1998-05-26,73.0,USA,0,0,0,Guard,1610612758,Kings
1630235,Trent Forrest,1998-06-12,76.0,USA,0,0,0,Guard,1610612737,Hawks
203095,Evan Fournier,1992-10-29,78.0,France,2012,1,20,Guard-Forward,1610612765,Pistons
1631241,Javon Freeman-Liberty,1999-10-20,75.0,USA,0,0,0,Guard,1610612761,Raptors
1641788,Alex Fudge,2003-05-06,80.0,USA,0,0,0,Forward,1610612742,Mavericks
1641847,Andrew Funk,1999-09-21,77.0,USA,0,0,0,Guard,1610612741,Bulls
1629117,Wenyen Gabriel,1997-03-26,81.0,South Sudan,0,0,0,Forward,0,FREE AGENT
201568,Danilo Gallinari,1988-08-08,82.0,Italy,2008,1,6,Forward,1610612749,Bucks
1641945,Jaylin Galloway,2002-12-21,78.0,Australia,0,0,0,Forward,1610612749,Bucks
1630586,Usman Garuba,2002-03-09,80.0,Spain,2021,1,23,Forward,1610612744,Warriors
1629232,Kaiser Gates,1996-11-08,79.0,USA,2018,0,0,Forward,0,FREE AGENT
1628385,Harry Giles III,1998-04-22,82.0,USA,2017,1,20,Forward-Center,1610612758,Kings
1631367,Jacob Gilyard,1998-07-14,68.0,USA,0,0,0,Guard,1610612751,Nets
1628984,Devonte' Graham,1995-02-22,73.0,USA,2018,2,34,Guard,1610612759,Spurs
1630564,RaiQuan Gray,1999-07-07,79.0,USA,2021,2,59,Forward,1610612759,Spurs
201980,Danny Green,1987-06-22,78.0,USA,2009,2,46,Guard,0,FREE AGENT
1631100,AJ Griffin,2003-08-25,78.0,USA,2022,1,16,Forward,1610612737,Hawks
1631338,Mouhamadou Gueye,1998-07-06,81.0,USA,0,0,0,Forward,1610612761,Raptors
1630204,Ashton Hagans,1999-07-08,75.0,USA,0,0,0,Guard-Forward,1610612757,Trail Blazers
1630181,R.J. Hampton,2001-02-07,76.0,USA,2020,1,24,Guard,0,FREE AGENT
203925,Joe Harris,1991-09-06,78.0,USA,2014,2,33,Guard-Forward,0,FREE AGENT
1630284,Kevon Harris,1997-06-24,77.0,USA,0,0,0,Guard,1610612753,Magic
1627885,Shaquille Harrison,1993-10-06,76.0,USA,0,0,0,Guard,0,FREE AGENT
202330,Gordon Hayward,1990-03-23,79.0,USA,2010,1,9,Forward,1610612760,Thunder
1630792,Malcolm Hill,1995-10-26,78.0,USA,0,0,0,Forward,1610612740,Pelicans
1630207,Nate Hinton,1999-06-08,77.0,USA,0,0,0,Guard-Forward,1610612745,Rockets
1641793,D'Moi Hodge,1998-12-20,75.0,British Virgin Islands,0,0,0,Guard,0,FREE AGENT
203200,Justin Holiday,1989-04-05,78.0,USA,0,0,0,Forward-Guard,1610612743,Nuggets
1627863,Danuel House Jr.,1993-06-07,78.0,USA,0,0,0,Forward-Guard,0,FREE AGENT
1630562,Matt Hurt,2000-04-20,81.0,USA,0,0,0,Forward,0,FREE AGENT
1628382,Justin Jackson,1995-03-28,80.0,USA,2017,1,15,Forward,0,FREE AGENT
202704,Reggie Jackson,1990-04-16,74.0,USA,2011,1,24,Guard,0,FREE AGENT
1630610,DeJon Jarreau,1998-01-23,77.0,USA,0,0,0,Guard,0,FREE AGENT
1641749,Keyontae Johnson,2000-05-24,76.0,USA,2023,2,50,Forward,1610612760,Thunder
1627745,Damian Jones,1995-06-30,82.0,USA,2016,1,30,Center,1610612739,Cavaliers
1627788,Furkan Korkmaz,1997-07-24,79.0,Turkey,2016,1,26,Guard-Forward,0,FREE AGENT
1630240,Saben Lee,1999-06-23,74.0,USA,2020,2,38,Guard,1610612756,Suns
1630184,Kira Lewis Jr.,2001-04-06,73.0,USA,2020,1,13,Guard,1610612762,Jazz
1629642,Nassir Little,2000-02-11,78.0,USA,2019,1,25,Forward-Guard,1610612756,Suns
1630587,Isaiah Livers,1998-07-28,78.0,USA,2021,2,42,Forward,0,FREE AGENT
1631254,Kenneth Lofton Jr.,2002-08-14,78.0,USA,0,0,0,Forward,1610612762,Jazz
201577,Robin Lopez,1988-04-01,85.0,USA,2008,1,15,Center,0,FREE AGENT
1641754,Seth Lundy,2000-04-02,76.0,USA,2023,2,46,Guard-Forward,1610612746,Clippers
1630177,Theo Maledon,2001-06-12,76.0,France,2020,2,34,Guard,0,FREE AGENT
1626246,Boban Marjanović,1988-08-15,88.0,Serbia,0,0,0,Center,1610612745,Rockets
202083,Wesley Matthews,1986-10-14,77.0,USA,0,0,0,Guard,1610612737,Hawks
1630219,Skylar Mays,1997-09-05,75.0,USA,2020,2,50,Guard,1610612747,Lakers
1629667,Jalen McDaniels,1998-01-31,81.0,USA,2019,2,52,Forward,0,FREE AGENT
201580,JaVale McGee,1988-01-19,84.0,USA,2008,1,18,Center-Forward,1610612758,Kings
1641877,Nathan Mensah,1998-04-09,81.0,Ghana,0,0,0,Center,0,FREE AGENT
1629002,Chimezie Metu,1997-03-22,82.0,USA,2018,2,49,Forward-Center,1610612765,Pistons
1630600,Isaiah Mobley,1999-09-24,80.0,USA,2022,2,49,Forward,0,FREE AGENT
1629875,Xavier Moon,1995-01-02,72.0,USA,0,0,0,Guard,1610612746,Clippers
202694,Marcus Morris Sr.,1989-09-02,80.0,USA,2011,1,14,Forward,1610612739,Cavaliers
203488,Mike Muscala,1991-07-01,82.0,USA,2013,2,44,Forward-Center,1610612760,Thunder
1630227,Daishen Nix,2002-02-13,76.0,USA,0,0,0,Guard,0,FREE AGENT
1641806,Markquis Nowell,1999-12-25,67.0,USA,0,0,0,Guard,0,FREE AGENT
1628373,Frank Ntilikina,1998-07-28,76.0,France,2017,1,8,Guard,0,FREE AGENT
1629670,Jordan Nwora,1998-09-09,80.0,USA,2020,2,45,Forward,1610612761,Raptors
1630647,Eugene Omoruyi,1997-02-14,78.0,Nigeria,0,0,0,Forward,1610612764,Wizards
1626224,Cedi Osman,1995-04-08,79.0,Turkey,2015,2,31,Forward,1610612759,Spurs
1641970,Maozinha Pereira,2000-08-28,80.0,Brazil,0,0,0,Forward,0,FREE AGENT
1630196,Filip Petrusev,2000-04-15,83.0,Serbia,2021,2,50,Center,0,FREE AGENT
1630197,Aleksej Pokusevski,2001-12-26,84.0,Serbia,2020,1,17,Forward,1610612766,Hornets
1629007,Jontay Porter,1999-11-15,82.0,USA,0,0,0,Center-Forward,0,FREE AGENT
203490,Otto Porter Jr.,1993-06-03,80.0,USA,2013,1,3,Forward,0,FREE AGENT
1630554,Jason Preston,1999-08-10,75.0,USA,2021,2,33,Guard,1610612762,Jazz
1630563,Joshua Primo,2002-12-24,76.0,Canada,2021,1,12,Guard,0,FREE AGENT
1630186,Jahmi'us Ramsey,2001-06-09,75.0,USA,2020,2,43,Guard,0,FREE AGENT
1629629,Cam Reddish,1999-09-01,79.0,USA,2019,1,10,Forward-Guard,0,FREE AGENT
1626196,Josh Richardson,1993-09-15,77.0,USA,2015,2,40,Guard,0,FREE AGENT
1629010,Jerome Robinson,1997-02-22,77.0,USA,2018,1,13,Guard,1610612744,Warriors
1631115,Orlando Robinson,2000-07-10,82.0,USA,0,0,0,Center,0,FREE AGENT
201565,Derrick Rose,1988-10-04,75.0,USA,2008,1,1,Guard,1610612763,Grizzlies
1630346,Matt Ryan,1997-04-17,78.0,USA,0,0,0,Forward,0,FREE AGENT
1629677,Luka Samanic,2000-01-09,82.0,Croatia,2019,1,19,Forward,1610612762,Jazz
1631257,Jermaine Samuels Jr.,1998-11-13,78.0,USA,0,0,0,Forward,1610612745,Rockets
1641766,Adama Sanogo,2002-02-12,81.0,Mali,0,0,0,Forward,0,FREE AGENT
1630846,Olivier Sarr,1999-02-20,82.0,France,0,0,0,Center,1610612760,Thunder
1629678,Admiral Schofield,1997-03-30,77.0,United Kingdom,2019,2,42,Forward,1610612753,Magic
1631220,Dereon Seabron,2000-05-26,77.0,USA,0,0,0,Guard,1610612740,Pelicans
1628424,Kobi Simmons,1997-07-04,77.0,USA,0,0,0,Guard,0,FREE AGENT
1630285,Zavier Simpson,1997-02-11,72.0,USA,0,0,0,Guard,0,FREE AGENT
1631376,Dmytro Skapintsev,1998-05-12,85.0,Ukraine,0,0,0,Center,0,FREE AGENT
1641771,Jalen Slawson,1999-10-22,79.0,USA,2023,2,54,Forward,1610612758,Kings
1630606,Javonte Smart,1999-06-03,76.0,USA,0,0,0,Guard,0,FREE AGENT
202397,Ish Smith,1988-07-05,72.0,USA,0,0,0,Guard,0,FREE AGENT
1631173,Terquavion Smith,2002-12-31,76.0,USA,0,0,0,Guard,1610612755,76ers
1628372,Dennis Smith Jr.,1997-11-25,75.0,USA,2017,1,9,Guard,1610612751,Nets
1631306,Cole Swider,1999-05-08,80.0,USA,0,0,0,Forward,0,FREE AGENT
1628464,Daniel Theis,1992-04-04,80.0,Germany,0,0,0,Forward-Center,0,FREE AGENT
202738,Isaiah Thomas,1989-02-07,69.0,USA,2011,2,60,Guard,1610612756,Suns
1629308,Juan Toscano-Anderson,1993-04-10,78.0,USA,0,0,0,Forward,0,FREE AGENT
1628426,Sasha Vezenkov,1995-08-06,80.0,Bulgaria,2017,2,57,Forward,1610612758,Kings
1630688,Ish Wainright,1994-09-12,77.0,USA,0,0,0,Forward,1610612756,Suns
203933,T.J. Warren,1993-09-05,80.0,USA,2014,1,14,Forward,1610612750,Timberwolves
1630613,Duane Washington Jr.,2000-03-24,74.0,Germany,0,0,0,Guard,1610612752,Knicks
1629139,Yuta Watanabe,1994-10-13,81.0,Japan,0,0,0,Guard-Forward,1610612763,Grizzlies
1631298,Jack White,1997-08-05,78.0,Australia,0,0,0,Forward,0,FREE AGENT
1629623,Lindell Wigginton,1998-03-28,73.0,Canada,2019,0,0,Guard,0,FREE AGENT
1631214,Alondes Williams,1999-06-19,76.0,USA,0,0,0,Guard,0,FREE AGENT
1642013,Malik Williams,1998-08-26,83.0,USA,0,0,0,Center,1610612761,Raptors
1628391,D.J. Wilson,1996-02-19,82.0,USA,2017,1,17,Forward,0,FREE AGENT
1629685,Dylan Windler,1996-09-22,79.0,USA,2019,1,26,Guard-Forward,1610612737,Hawks
1630164,James Wiseman,2001-03-31,83.0,USA,2020,1,2,Center,0,FREE AGENT
1631209,Isaiah Wong,2001-01-28,75.0,USA,2023,2,55,Guard,0,FREE AGENT
1626174,Christian Wood,1995-09-27,80.0,USA,0,0,0,Forward,1610612747,Lakers
201152,Thaddeus Young,1988-06-21,80.0,USA,2007,1,12,Forward,1610612756,Suns
1630209,Omer Yurtseven,1998-06-19,83.0,Turkey,0,0,0,Center,1610612762,Jazz
203469,Cody Zeller,1992-10-05,83.0,USA,2013,1,4,Forward-Center,1610612740,Pelicans
